FSA,Language,Count,Year
M1M,Hebrew,0,2006
M1M,Maltese,0,2006
M1M,Somali,25,2006
M1M,Tigrigna,10,2006
M1M,Bengali,225,2006
M1M,Gujarati,35,2006
M1M,Hindi,10,2006
M1M,Kurdish,20,2006
M1M,Panjabi (Punjabi),35,2006
M1M,Pashto,0,2006
M1M,Persian (Farsi),100,2006
M1M,Sindhi,35,2006
M1M,Sinhala (Sinhalese),40,2006
M1M,Urdu,340,2006
M1M,Malayalam,0,2006
M1M,Tamil,680,2006
M1M,Telugu,0,2006
M1M,Japanese,45,2006
M1M,Korean,75,2006
M1M,Cantonese,120,2006
M1M,"Chinese, n.o.s.",190,2006
M1M,Mandarin,155,2006
M1M,Taiwanese,0,2006
M1M,Lao,0,2006
M1M,Khmer (Cambodian),0,2006
M1M,Vietnamese,10,2006
M1M,Bisayan languages,10,2006
M1M,Ilocano,45,2006
M1M,Malay,0,2006
M1M,"Tagalog (Pilipino, Filipino)",355,2006
M1M,Akan (Twi),15,2006
M1M,Swahili,10,2006
M1M,Creoles,10,2006
M1M,Other languages,150,2006
M1N,Algonquin,0,2006
M1N,Atikamekw,0,2006
M1N,Blackfoot,0,2006
M1N,Carrier,0,2006
M1N,Chilcotin,0,2006
M1N,Chipewyan,0,2006
M1N,Cree,0,2006
M1N,Siouan languages (Dakota/Sioux),0,2006
M1N,Dene,0,2006
M1N,Dogrib,0,2006
M1N,Gitksan,0,2006
M1N,Inuinnaqtun,0,2006
M1N,"Inuktitut, n.i.e.",0,2006
M1N,Kutchin-Gwich'in (Loucheux),0,2006
M1N,Malecite,0,2006
M1N,Mi'kmaq,0,2006
M1N,Mohawk,0,2006
M1N,Montagnais-Naskapi,0,2006
M1N,Nisga'a,0,2006
M1N,North Slave (Hare),0,2006
M1N,Ojibway,0,2006
M1N,Oji-Cree,0,2006
M1N,Shuswap,0,2006
M1N,South Slave,0,2006
M1N,Tlingit,0,2006
M1N,Italian,175,2006
M1N,Portuguese,0,2006
M1N,Romanian,0,2006
M1N,Spanish,155,2006
M1N,Danish,0,2006
M1N,Dutch,0,2006
M1N,Flemish,0,2006
M1N,Frisian,0,2006
M1N,German,25,2006
M1N,Norwegian,0,2006
M1N,Swedish,0,2006
M1N,Yiddish,0,2006
M1N,Bosnian,20,2006
M1N,Bulgarian,60,2006
M1N,Croatian,0,2006
M1N,Czech,10,2006
M1N,Macedonian,90,2006
M1N,Polish,10,2006
M1N,Russian,50,2006
M1N,Serbian,0,2006
M1N,Serbo-Croatian,45,2006
M1N,Slovak,0,2006
M1N,Slovenian,10,2006
M1N,Ukrainian,0,2006
M1N,Latvian,0,2006
M1N,Lithuanian,0,2006
M1N,Estonian,15,2006
M1N,Finnish,0,2006
M1N,Hungarian,55,2006
M1N,Greek,150,2006
M1N,Armenian,0,2006
M1N,Turkish,0,2006
M1N,Amharic,10,2006
M1N,Arabic,45,2006
M1N,Hebrew,0,2006
M1N,Maltese,0,2006
M1N,Somali,0,2006
M1N,Tigrigna,0,2006
M1N,Bengali,220,2006
M1N,Gujarati,0,2006
M1N,Hindi,10,2006
M1N,Kurdish,0,2006
M1N,Panjabi (Punjabi),25,2006
M1N,Pashto,15,2006
M1N,Persian (Farsi),55,2006
